#Age      [M/H]   OII3727       HdA       HdF       CN1       CN2    Ca4227     G4300       HgA       HgF   HgVA125   HgVA200   HgVA275    Fe4383    Ca4455    Fe4531     C4668     Hbeta   Hbeta_p    OIII_1    OIII_2  OIII_2ne    Fe5015       Mg1       Mg2   Mgb5177    Fe5270    Fe5335    Fe5406    Fe5709    Fe5782    Na5895      TiO1      TiO2
00.0631   -2.32	  2.2731    4.8504	3.7846   -0.0920   -0.0551    0.2114   -0.9048    4.9537    3.9062    0.0708	0.0503    0.0379    0.2494    0.4937	0.3569    0.4588    4.1464    3.7545   -0.3613    0.2247    0.0087    0.9015	0.0090    0.0163    0.2808    0.3501	0.3467    0.1702    0.0595    0.1306	0.7507    0.0075   -0.0013
00.0708   -2.32	  2.2008    5.5981	4.2241   -0.1064   -0.0687    0.0590   -1.3284    5.7832    4.3879    0.0780	0.0552    0.0415   -0.0981    0.4313	0.1412    0.2023    4.4958    4.0518   -0.3537    0.1693    0.0050    0.7271	0.0085    0.0119    0.0552    0.1322	0.1822    0.0810    0.0133    0.0958	0.4644    0.0073   -0.0010
00.0794   -2.32	  2.2460    5.8522	4.3936   -0.1120   -0.0734    0.0485   -1.4015    6.0279    4.5511    0.0811	0.0573    0.0430   -0.1483    0.4111	0.1434    0.1557    4.6583    4.2034   -0.3656    0.1522    0.0041    0.6983	0.0083    0.0127    0.0580    0.1264	0.1794    0.0859    0.0134    0.0954	0.4306    0.0071   -0.0007
00.0891   -2.32	  2.2818    6.0607	4.5425   -0.1160   -0.0763    0.0286   -1.4784    6.2252    4.6950    0.0841	0.0595    0.0446   -0.1572    0.4024	0.1284    0.0734    4.7878    4.3154   -0.3743    0.1332    0.0029    0.6659	0.0079    0.0120    0.0389    0.1076	0.1635    0.0812    0.0129    0.0923	0.4160    0.0070   -0.0004
00.1000   -2.32	  2.3091    6.2811	4.6830   -0.1217   -0.0817    0.0298   -1.5229    6.4402    4.8224    0.0858	0.0606    0.0453   -0.2655    0.3553	0.1317    0.0391    4.8990    4.4272   -0.3516    0.1163    0.0022    0.6096	0.0081    0.0129    0.0593    0.1025	0.1586    0.0789    0.0174    0.0950	0.4057    0.0065   -0.0005
00.1122   -2.32	  2.2978    6.3998	4.7567   -0.1248   -0.0844    0.0273   -1.5291    6.5327    4.8831    0.0869	0.0614    0.0460   -0.3102    0.3211	0.1277   -0.0142    4.9458    4.4742   -0.3420    0.1068    0.0018    0.5811	0.0079    0.0133    0.0753    0.0933	0.1533    0.0788    0.0206    0.0972	0.4115    0.0063   -0.0005
00.1259   -2.32	  2.3414    6.5250	4.8316   -0.1279   -0.0873    0.0263   -1.5403    6.6407    4.9424    0.0875	0.0617    0.0461   -0.3893    0.2882	0.1271   -0.0193    4.9778    4.5097   -0.3204    0.0934    0.0014    0.5352	0.0085    0.0135    0.0749    0.0908	0.1481    0.0782    0.0184    0.0943	0.4104    0.0061   -0.0008
00.1413   -2.32	  2.4033    6.7088	4.9378   -0.1324   -0.0911    0.0279   -1.5753    6.8085    5.0429    0.0893	0.0630    0.0471   -0.4627    0.2553	0.1302   -0.0795    5.0542    4.5885   -0.3042    0.0893    0.0014    0.5198	0.0081    0.0141    0.0946    0.0846	0.1468    0.0818    0.0229    0.0976	0.4322    0.0057   -0.0007
00.1585   -2.32	  1.9843    5.9663	4.4566   -0.1076   -0.0686   -0.0280   -0.6971    5.5965    4.2634    0.0767	0.0542    0.0406   -0.2107    0.2242	0.3691    2.7538    3.9537    3.6285   -0.6702   -0.0596   -0.0002    0.5528	0.0743    0.0328   -0.4957    0.4839	0.2730    0.1787    0.0021    0.0635	0.9103    0.0150   -0.0012
00.1778   -2.32	  2.0608    6.1725	4.5552   -0.1145   -0.0753   -0.0035   -0.7432    5.7014    4.3317    0.0775	0.0548    0.0411   -0.2752    0.2128	0.3951    2.1806    3.9886    3.6748   -0.5815    0.0025    0.0014    0.6473	0.0605    0.0346   -0.2726    0.4759	0.3162    0.2010    0.0495    0.0978	0.8512    0.0142    0.0043
00.1995   -2.32	  2.2512    6.2274	4.5968   -0.1187   -0.0798    0.0238   -0.7313    5.6673    4.3425    0.0772	0.0545    0.0407   -0.3279    0.1758	0.4239    1.6148    3.9958    3.6925   -0.4541    0.0774    0.0031    0.7477	0.0470    0.0381   -0.0286    0.4652	0.3625    0.2321    0.1100    0.1399	0.7928    0.0135    0.0108
00.2239   -2.32	  2.3296    6.3673	4.6644   -0.1242   -0.0854    0.0504   -0.7363    5.6881    4.3768    0.0776	0.0548    0.0410   -0.3636    0.1631	0.4680    0.9680    4.0102    3.7154   -0.3546    0.1493    0.0045    0.8724	0.0324    0.0403    0.2112    0.4619	0.4160    0.2640    0.1649    0.1747	0.7225    0.0126    0.0161
00.2512   -2.32	  2.3790    6.4474	4.7037   -0.1273   -0.0880    0.0698   -0.7308    5.6635    4.3878    0.0781	0.0552    0.0414   -0.3689    0.1495	0.4991    0.5526    4.0011    3.7161   -0.2849    0.2039    0.0057    0.9774	0.0238    0.0429    0.3728    0.4681	0.4553    0.2922    0.2082    0.2056	0.7125    0.0127    0.0209
00.2818   -2.32	  2.4531    6.4946	4.7443   -0.1285   -0.0886    0.0828   -0.7148    5.6527    4.4036    0.0787	0.0557    0.0417   -0.3493    0.1492	0.5239    0.4799    3.9890    3.7074   -0.2588    0.2310    0.0064    1.0438	0.0231    0.0463    0.4439    0.4946	0.4875    0.3150    0.2323    0.2243	0.7192    0.0136    0.0249
00.3162   -2.32	  2.5041    6.8836	4.9575   -0.1374   -0.0963    0.0869   -0.8257    6.0226    4.6109    0.0822	0.0583    0.0438   -0.4455    0.1274	0.5032    0.3744    4.1706    3.8774   -0.2733    0.2078    0.0053    0.9958	0.0199    0.0434    0.4629    0.4715	0.4767    0.2920    0.2189    0.2136	0.6889    0.0134    0.0235
00.3548   -2.32	  2.4887    7.0526	5.0505   -0.1410   -0.0997    0.0860   -0.8608    6.1703    4.6979    0.0836	0.0593    0.0446   -0.4803    0.1213	0.5106    0.3187    4.2522    3.9535   -0.2877    0.2002    0.0050    0.9841	0.0188    0.0428    0.4662    0.4684	0.4705    0.2894    0.2094    0.2098	0.6760    0.0131    0.0222
00.3981   -2.32	  2.5219    7.3615	5.2076   -0.1482   -0.1060    0.0893   -0.9524    6.4802    4.8600    0.0865	0.0614    0.0463   -0.5962    0.1102	0.5136    0.3161    4.3771    4.0788   -0.2924    0.1966    0.0050    0.9738	0.0184    0.0427    0.4688    0.4660	0.4709    0.2910    0.2054    0.2107	0.6783    0.0130    0.0220
00.4467   -2.32	  2.4996    7.6821	5.3816   -0.1556   -0.1130    0.0844   -1.0731    6.8619    5.0664    0.0903	0.0643    0.0486   -0.7218    0.1066	0.4995    0.2467    4.5825    4.2739   -0.3220    0.1819    0.0051    0.9389	0.0163    0.0408    0.4564    0.4487	0.4448    0.2820    0.1926    0.2008	0.6586    0.0120    0.0195
00.5012   -2.32	  2.4564    7.8291	5.4442   -0.1595   -0.1171    0.0787   -1.1031    7.0042    5.1354    0.0912	0.0650    0.0492   -0.7795    0.0963	0.4889    0.1800    4.6402    4.3303   -0.3354    0.1706    0.0048    0.9174	0.0146    0.0395    0.4535    0.4365	0.4359    0.2753    0.1875    0.1945	0.6594    0.0113    0.0178
00.5623   -2.32	  2.2864    8.1345	5.5441   -0.1667   -0.1246    0.0796   -1.1583    7.2988    5.2398    0.0922	0.0659    0.0500   -0.9392    0.0939	0.5005    0.2163    4.6884    4.3961   -0.3704    0.1591    0.0049    0.9119	0.0131    0.0371    0.4395    0.4446	0.4333    0.2654    0.1831    0.1870	0.6592    0.0109    0.0166
00.6310   -2.32	  2.2622    8.2120	5.5758   -0.1684   -0.1265    0.0782   -1.1545    7.3392    5.2359    0.0916	0.0654    0.0496   -0.9779    0.0910	0.4769    0.2983    4.6683    4.3832   -0.3845    0.1305    0.0044    0.8473	0.0133    0.0351    0.4323    0.4388	0.4223    0.2439    0.1771    0.1737	0.6527    0.0109    0.0159
00.7079   -2.32	  2.2792    8.3712	5.6364   -0.1725   -0.1310    0.0862   -1.1666    7.4427    5.2548    0.0909	0.0650    0.0493   -1.0414    0.0819	0.4457    0.3276    4.6411    4.3667   -0.4010    0.0979    0.0033    0.7777	0.0131    0.0328    0.4368    0.4240	0.4143    0.2183    0.1722    0.1516	0.6513    0.0107    0.0151
00.7943   -2.32	  2.2664    8.3306	5.6238   -0.1719   -0.1305    0.0784   -1.1516    7.4259    5.2558    0.0915	0.0654    0.0497   -1.0383    0.0719	0.4260    0.3160    4.6810    4.3968   -0.4055    0.0858    0.0030    0.7373	0.0122    0.0312    0.4278    0.4020	0.3976    0.2066    0.1624    0.1428	0.6325    0.0102    0.0136
00.8913   -2.32	  2.1837    8.1720	5.5308   -0.1680   -0.1263    0.0846   -1.0820    7.2601    5.1665    0.0911	0.0653    0.0498   -0.9948    0.0670	0.4433    0.3299    4.6296    4.3502   -0.3968    0.0905    0.0033    0.7349	0.0120    0.0316    0.4362    0.4121	0.4021    0.2055    0.1599    0.1448	0.6335    0.0098    0.0132
01.0000   -2.32	  2.1054    7.9664	5.4260   -0.1635   -0.1231    0.0787   -1.0425    7.0567    5.0501    0.0882	0.0631    0.0480   -0.9443    0.0707	0.4209    0.3861    4.5353    4.2564   -0.3890    0.0858    0.0033    0.7060	0.0122    0.0303    0.4204    0.4043	0.3877    0.1981    0.1490    0.1369	0.6364    0.0095    0.0120
01.1220   -2.32	  1.9126    7.3203	5.0204   -0.1498   -0.1118    0.0835   -0.7332    6.2807    4.5972    0.0804	0.0575    0.0437   -0.7574    0.0765	0.4505    0.3943    4.1346    3.8878   -0.3623    0.0981    0.0037    0.7272	0.0121    0.0311    0.4378    0.4213	0.4085    0.2072    0.1526    0.1422	0.6615    0.0091    0.0117
01.2589   -2.32	  1.6292    6.4240	4.4430   -0.1306   -0.0955    0.0942   -0.2407    5.1991    3.9536    0.0702	0.0502    0.0382   -0.5527    0.0943	0.5545    0.5843    3.5735    3.3768   -0.3322    0.1433    0.0052    0.8444	0.0157    0.0352    0.4416    0.4928	0.4710    0.2420    0.1674    0.1513	0.7047    0.0094    0.0130
01.4125   -2.32	  1.7063    6.8461	4.6602   -0.1408   -0.1054    0.0877   -0.4700    5.7427    4.2470    0.0745	0.0534    0.0407   -0.6848    0.0781	0.4960    0.3930    3.8549    3.6390   -0.3533    0.1157    0.0044    0.7584	0.0107    0.0303    0.4354    0.4378	0.4259    0.2130    0.1403    0.1403	0.6697    0.0082    0.0102
01.5849   -2.32	  1.6771    6.6616	4.5466   -0.1373   -0.1030    0.0908   -0.3660    5.4999    4.1067    0.0720	0.0516    0.0393   -0.6344    0.0707	0.4873    0.3316    3.7536    3.5410   -0.3397    0.1109    0.0042    0.7338	0.0092    0.0294    0.4507    0.4261	0.4231    0.2061    0.1359    0.1352	0.6653    0.0078    0.0094
01.7783   -2.32	  1.5777    6.3414	4.3308   -0.1308   -0.0979    0.0907   -0.2242    5.1410    3.8799    0.0683	0.0490    0.0373   -0.5749    0.0796	0.4944    0.3576    3.5805    3.3813   -0.3344    0.1109    0.0043    0.7296	0.0092    0.0293    0.4504    0.4292	0.4253    0.2073    0.1311    0.1319	0.6674    0.0076    0.0089
01.9953   -2.32	  1.7023    6.6378	4.4902   -0.1373   -0.1039    0.0954   -0.2991    5.4212    4.0328    0.0704	0.0505    0.0385   -0.6382    0.0614	0.5003    0.2637    3.6878    3.4892   -0.3491    0.1009    0.0041    0.7096	0.0077    0.0287    0.4709    0.4190	0.4195    0.1996    0.1292    0.1249	0.6604    0.0070    0.0077
02.2387   -2.32	  1.6095    6.3245	4.2965   -0.1309   -0.0984    0.0904   -0.2122    5.1226    3.8473    0.0677	0.0487    0.0372   -0.5989    0.0688	0.4839    0.3130    3.5606    3.3628   -0.3454    0.0953    0.0039    0.6880	0.0080    0.0281    0.4616    0.4135	0.4209    0.1945    0.1195    0.1190	0.6344    0.0069    0.0071
02.5119   -2.32	  1.5645    6.1137	4.1633   -0.1267   -0.0949    0.0886   -0.1536    4.9217    3.7194    0.0658	0.0473    0.0362   -0.5716    0.0650	0.4737    0.3247    3.4896    3.2921   -0.3460    0.0780    0.0036    0.6342	0.0076    0.0269    0.4599    0.3971	0.4076    0.1801    0.1114    0.1088	0.6179    0.0062    0.0053
02.8184   -2.32	  1.4418    5.6950	3.9043   -0.1181   -0.0875    0.0907   -0.0238    4.4978    3.4707    0.0620	0.0446    0.0341   -0.4927    0.0722	0.4832    0.3557    3.3220    3.1305   -0.3232    0.0845    0.0039    0.6353	0.0075    0.0276    0.4709    0.4007	0.4157    0.1814    0.1090    0.1077	0.6397    0.0065    0.0061
03.1623   -2.32	  1.3137    5.2739	3.6643   -0.1096   -0.0800    0.0900	0.1060    4.0833    3.2373    0.0588	0.0422    0.0322   -0.4035    0.0768	0.4746    0.4217    3.1834    2.9933   -0.3128    0.0793    0.0038    0.6160	0.0081    0.0272    0.4617    0.4000	0.4108    0.1746    0.1053    0.1046	0.6422    0.0062    0.0052
03.5481   -2.32	  1.2578    4.7535	3.3765   -0.0993   -0.0715    0.0879	0.2368    3.5844    2.9565    0.0542	0.0387    0.0294   -0.2888    0.0817	0.4499    0.4340    2.9934    2.8042   -0.2890    0.0802    0.0040    0.5927	0.0081    0.0264    0.4510    0.3888	0.4074    0.1720    0.0978    0.1031	0.6319    0.0062    0.0048
03.9811   -2.32	  1.2432    4.6469	3.3172   -0.0974   -0.0703    0.0850	0.2660    3.4917    2.8986    0.0529	0.0377    0.0285   -0.2793    0.0834	0.4323    0.4508    2.9469    2.7581   -0.2869    0.0782    0.0040    0.5833	0.0085    0.0254    0.4288    0.3854	0.4015    0.1711    0.0869    0.0988	0.6273    0.0062    0.0040
04.4668   -2.32	  1.2568    4.6348	3.3117   -0.0972   -0.0702    0.0854	0.3005    3.4610    2.8784    0.0526	0.0375    0.0284   -0.2817    0.0802	0.4311    0.4839    2.9360    2.7481   -0.2936    0.0699    0.0039    0.5629	0.0094    0.0257    0.4260    0.3846	0.3970    0.1684    0.0830    0.0944	0.6254    0.0060    0.0031
05.0119   -2.32	  1.2239    4.5553	3.2540   -0.0959   -0.0693    0.0869	0.3420    3.3767    2.8204    0.0515	0.0367    0.0277   -0.2745    0.0774	0.4331    0.5027    2.8934    2.7077   -0.2929    0.0661    0.0039    0.5528	0.0101    0.0258    0.4179    0.3854	0.3956    0.1668    0.0756    0.0915	0.6359    0.0061    0.0027
05.6234   -2.32	  1.2650    4.4015	3.1908   -0.0925   -0.0660    0.0871	0.3555    3.2493    2.7639    0.0510	0.0363    0.0274   -0.2314    0.0738	0.4276    0.4330    2.8681    2.6789   -0.2721    0.0722    0.0040    0.5432	0.0089    0.0251    0.4243    0.3763	0.3963    0.1651    0.0757    0.0903	0.6475    0.0061    0.0034
06.3096   -2.32	  1.2726    4.3549	3.1531   -0.0926   -0.0670    0.0918	0.4028    3.1905    2.7189    0.0496	0.0351    0.0264   -0.2374    0.0714	0.4257    0.4382    2.8302    2.6466   -0.2747    0.0691    0.0041    0.5355	0.0091    0.0251    0.4306    0.3828	0.3987    0.1662    0.0685    0.0884	0.6578    0.0062    0.0029
07.0795   -2.32	  1.2819    4.3815	3.1618   -0.0931   -0.0673    0.0918	0.4285    3.1847    2.7043    0.0495	0.0351    0.0264   -0.2481    0.0652	0.4319    0.4763    2.8175    2.6351   -0.2736    0.0608    0.0041    0.5071	0.0110    0.0260    0.4254    0.3850	0.3976    0.1659    0.0605    0.0802	0.6935    0.0067    0.0033
07.9433   -2.32	  1.3708    4.1429	3.0696   -0.0883   -0.0628    0.0930	0.4908    2.9560    2.6065    0.0484	0.0342    0.0256   -0.1556    0.0608	0.4263    0.4355    2.7762    2.5886   -0.2572    0.0630    0.0042    0.4898	0.0100    0.0255    0.4375    0.3800	0.4007    0.1646    0.0673    0.0828	0.7029    0.0065    0.0034
08.9125   -2.32	  1.3689    4.0145	2.9948   -0.0856   -0.0601    0.0980	0.5878    2.7997    2.5203    0.0481	0.0341    0.0257   -0.1236    0.0566	0.4369    0.4618    2.7328    2.5487   -0.2617    0.0599    0.0044    0.4777	0.0102    0.0261    0.4554    0.3846	0.4024    0.1640    0.0615    0.0805	0.6815    0.0062    0.0025
10.0000   -2.32	  1.3204    4.1506	3.0618   -0.0882   -0.0624    0.0983	0.5207    2.9517    2.5940    0.0488	0.0346    0.0261   -0.1738    0.0486	0.4378    0.4772    2.7765    2.5919   -0.2580    0.0526    0.0043    0.4512	0.0114    0.0270    0.4568    0.3751	0.3971    0.1627    0.0537    0.0748	0.7452    0.0072    0.0046
11.2202   -2.32	  1.3829    4.2467	3.1285   -0.0902   -0.0634    0.1041	0.5264    3.0294    2.6477    0.0503	0.0358    0.0271   -0.1936    0.0380	0.4533    0.4330    2.8185    2.6347   -0.2546    0.0543    0.0044    0.4502	0.0107    0.0272    0.4701    0.3781	0.4064    0.1601    0.0620    0.0720	0.7467    0.0066    0.0042
12.5893   -2.32	  1.4545    4.3458	3.1915   -0.0919   -0.0646    0.1056	0.4795    3.1268    2.7076    0.0515	0.0367    0.0279   -0.1985    0.0355	0.4614    0.4453    2.8681    2.6828   -0.2535    0.0534    0.0045    0.4355	0.0113    0.0280    0.4839    0.3829	0.4141    0.1634    0.0637    0.0754	0.7881    0.0075    0.0064
14.1254   -2.32	  1.4667    4.1006	3.0375   -0.0880   -0.0621    0.1184	0.6262    2.8496    2.5429    0.0488	0.0347    0.0262   -0.1797    0.0366	0.4568    0.3867    2.7745    2.5946   -0.2487    0.0520    0.0048    0.4344	0.0098    0.0286    0.5277    0.3774	0.4119    0.1644    0.0548    0.0651	0.7396    0.0065    0.0039
15.8489   -2.32	  1.4984    4.0549	3.0148   -0.0871   -0.0614    0.1167	0.6339    2.8181    2.5309    0.0487	0.0347    0.0262   -0.1630    0.0377	0.4567    0.3785    2.7744    2.5935   -0.2423    0.0562    0.0050    0.4332	0.0093    0.0281    0.5288    0.3776	0.4093    0.1669    0.0528    0.0664	0.7033    0.0065    0.0035
17.7828   -2.32	  1.5384    4.0500	3.0192   -0.0871   -0.0612    0.1143	0.6577    2.8039    2.5259    0.0487	0.0346    0.0262   -0.1647    0.0396	0.4660    0.3981    2.7730    2.5917   -0.2434    0.0615    0.0053    0.4450	0.0109    0.0299    0.5342    0.3866	0.4170    0.1767    0.0519    0.0672	0.7399    0.0071    0.0047
00.0631   -1.71	  1.6580    5.5787	4.1843   -0.1076   -0.0707    0.0633   -1.1072    5.5452    4.2771    0.0766	0.0542    0.0406   -0.1109    0.3318	0.2012    0.0467    4.3626    3.9486   -0.3473    0.1750    0.0028    0.7858	0.0073    0.0153    0.1366    0.1821	0.2170    0.0991    0.0475    0.1074	0.5451    0.0068    0.0003
00.0708   -1.71	  1.6691    5.7419	4.2920   -0.1111   -0.0735    0.0461   -1.1723    5.7182    4.3847    0.0786	0.0556    0.0417   -0.1638    0.3213	0.1862   -0.0001    4.4546    4.0333   -0.3454    0.1595    0.0021    0.7551	0.0072    0.0152    0.1235    0.1650	0.2050    0.0958    0.0463    0.1044	0.5113    0.0066    0.0006
00.0794   -1.71	  1.6970    5.9782	4.4442   -0.1162   -0.0774    0.0413   -1.2230    5.9548    4.5393    0.0818	0.0579    0.0435   -0.2172    0.3036	0.1973   -0.0545    4.6025    4.1730   -0.3479    0.1524    0.0018    0.7466	0.0072    0.0161    0.1302    0.1650	0.2050    0.1044    0.0476    0.1037	0.5098    0.0063    0.0008
00.0891   -1.71	  1.7415    6.2198	4.5829   -0.1222   -0.0831    0.0451   -1.2683    6.1846    4.6644    0.0833	0.0589    0.0442   -0.3478    0.2558	0.2070   -0.0428    4.7064    4.2831   -0.3266    0.1409    0.0017    0.7014	0.0078    0.0171    0.1476    0.1675	0.2055    0.1042    0.0506    0.1044	0.5099    0.0060    0.0008
00.1000   -1.71	  1.7308    6.3458	4.6662   -0.1257   -0.0862    0.0425   -1.2784    6.3116    4.7378    0.0846	0.0598    0.0449   -0.4338    0.2194	0.2038   -0.0602    4.7631    4.3421   -0.3082    0.1316    0.0016    0.6694	0.0082    0.0178    0.1561    0.1604	0.1994    0.1068    0.0550    0.1032	0.4891    0.0056    0.0008
00.1122   -1.71	  1.7544    5.9737	4.4146   -0.1177   -0.0789    0.0920   -0.5823    5.2657    4.1865    0.0769	0.0546    0.0411   -0.1581    0.2524	0.5858    0.2405    3.9878    3.6945   -0.3202    0.2933    0.0060    1.3087	0.0163    0.0416    0.4104    0.5581	0.5152    0.3139    0.2710    0.2009	0.7371    0.0108    0.0183
