#Age   [M/H] slope  CN1    CN2  Ca4227    G   Fe4383 Ca4455 Fe4531  C4668   Hb   Fe5015   Mg1    Mg2    Mgb  Fe5270 Fe5335 Fe5406 Fe5709 Fe5782   NaD    TiO1   TiO2    HdA    HgA   HdF    HgF   D4000   CaT*   PaT    CaT    sTiO   MgI   D_CO
#===========================================================================================================================================================================================================================---------------------
 0.10 -1.71  0.30 -0.357 -0.250 -0.442 -3.125 -1.299 -0.220 -0.354  0.137  6.654  0.105  0.014  0.005  0.321 -0.769 -0.063 -0.121  0.078 -0.156  0.773  0.013 -0.005  8.943  9.033  7.181  7.248  1.114  2.157  4.855  6.672  0.949  0.009  1.063
 0.11 -1.71  0.30 -0.332 -0.180 -0.178 -1.123 -0.204  0.146  0.719  0.118  4.612  1.767  0.004  0.030  0.280  0.576  0.594  0.366  0.390  0.167  1.620  0.011  0.007  7.504  6.143  5.905  5.486  1.219  5.957  1.884  7.710  0.993  0.354  1.130
 0.13 -1.71  0.30 -0.338 -0.192 -0.143 -0.997 -0.129  0.182  0.828  0.113  4.520  1.901  0.004  0.035  0.321  0.668  0.650  0.406  0.404  0.186  1.701  0.012  0.009  7.489  6.045  5.825  5.401  1.243  6.064  1.834  7.770  0.996  0.367  1.133
 0.14 -1.71  0.30 -0.336 -0.197 -0.126 -0.996 -0.125  0.195  0.867  0.117  4.529  1.944  0.005  0.039  0.368  0.695  0.677  0.423  0.405  0.193  1.755  0.013  0.011  7.539  6.097  5.827  5.419  1.259  6.086  1.861  7.817  0.997  0.374  1.135
 0.16 -1.71  0.30 -0.318 -0.182 -0.101 -0.906 -0.082  0.219  0.935  0.129  4.458  2.029  0.006  0.043  0.413  0.751  0.717  0.452  0.411  0.204  1.830  0.014  0.014  7.512  6.038  5.758  5.366  1.294  6.154  1.845  7.870  0.999  0.385  1.138
 0.18 -1.71  0.30 -0.300 -0.169 -0.089 -0.916 -0.103  0.225  0.954  0.140  4.471  2.052  0.008  0.047  0.458  0.760  0.735  0.464  0.407  0.206  1.885  0.016  0.017  7.553  6.087  5.765  5.390  1.321  6.187  1.863  7.920  1.000  0.394  1.141
 0.20 -1.71  0.30 -0.285 -0.157 -0.068 -0.863 -0.074  0.242  1.007  0.154  4.431  2.120  0.009  0.051  0.506  0.798  0.768  0.487  0.407  0.214  1.963  0.017  0.020  7.567  6.083  5.726  5.373  1.348  6.244  1.864  7.978  1.002  0.407  1.143
 0.22 -1.71  0.30 -0.269 -0.147 -0.064 -0.897 -0.119  0.238  0.995  0.160  4.465  2.101  0.010  0.054  0.551  0.778  0.771  0.486  0.395  0.209  1.988  0.019  0.023  7.600  6.188  5.756  5.440  1.387  6.191  1.936  7.992  1.002  0.409  1.145
 0.25 -1.71  0.30 -0.257 -0.141 -0.072 -1.021 -0.220  0.217  0.940  0.153  4.576  2.021  0.011  0.054  0.575  0.713  0.746  0.466  0.376  0.195  1.953  0.020  0.024  7.746  6.375  5.830  5.537  1.399  6.064  2.051  7.972  1.001  0.403  1.145
 0.28 -1.71  0.30 -0.246 -0.135 -0.090 -1.191 -0.376  0.182  0.844  0.159  4.710  1.895  0.011  0.054  0.589  0.616  0.705  0.435  0.353  0.175  1.906  0.021  0.024  7.847  6.613  5.965  5.706  1.406  5.916  2.196  7.958  0.999  0.394  1.146
