# Age    [M/H]     CN1    CN2  Ca4227    G   Fe4383 Ca4455 Fe4531  C4668   Hb   Fe5015   Mg1    Mg2    Mgb  Fe5270 Fe5335 Fe5406 Fe5709 Fe5782   NaD   TiO1   TiO2    HdA    HgA     HdF   HgF   D4000   CaT*   PaT    CaT    sTiO   MgI    D_CO
#===============================================================================================================================================================================================================================================
 0.0631 -2.3152  -0.331 -0.256 -0.500 -3.941 -2.522 -0.164 -0.851  2.000  6.849 -0.001  0.022 -0.006  0.046 -1.520  0.099 -0.112  0.030 -0.381  1.000  0.013 -0.006  9.239  9.350  7.752  7.670  1.043  0.296  5.738  5.632  0.942 -0.139  1.060
 0.0708 -2.3152  -0.344 -0.269 -0.503 -3.908 -2.511 -0.164 -0.855  2.012  6.812 -0.004  0.023 -0.006  0.049 -1.525  0.098 -0.113  0.031 -0.381  0.995  0.013 -0.006  9.186  9.279  7.724  7.639  1.062  0.306  5.893  5.787  0.944 -0.139  1.060
 0.0794 -2.3152  -0.354 -0.280 -0.492 -3.926 -2.518 -0.160 -0.819  1.932  6.845  0.026  0.021 -0.005  0.071 -1.488  0.103 -0.108  0.029 -0.377  0.980  0.013 -0.006  9.090  9.163  7.677  7.588  1.075  0.315  6.039  5.932  0.945 -0.140  1.060
 0.0891 -2.3152  -0.347 -0.273 -0.496 -3.887 -2.501 -0.159 -0.826  1.954  6.794  0.020  0.021 -0.005  0.077 -1.495  0.103 -0.109  0.030 -0.377  0.975  0.013 -0.006  9.058  9.117  7.655  7.563  1.094  0.314  6.154  6.037  0.946 -0.141  1.059
 0.1000 -2.3152  -0.329 -0.258 -0.506 -3.843 -2.489 -0.160 -0.853  2.019  6.737 -0.003  0.022 -0.005  0.078 -1.524  0.104 -0.111  0.032 -0.378  0.973  0.013 -0.006  9.088  9.180  7.658  7.583  1.108  0.304  6.297  6.159  0.947 -0.142  1.059
 0.1122 -2.3152  -0.320 -0.250 -0.501 -3.804 -2.479 -0.156 -0.837  1.995  6.692  0.012  0.022 -0.004  0.098 -1.503  0.111 -0.106  0.033 -0.374  0.962  0.013 -0.006  8.971  9.095  7.584  7.529  1.127  0.305  6.328  6.190  0.948 -0.140  1.058
 0.1259 -2.3152  -0.311 -0.242 -0.494 -3.789 -2.455 -0.150 -0.811  1.947  6.695  0.037  0.021 -0.003  0.097 -1.469  0.121 -0.099  0.035 -0.367  0.949  0.013 -0.006  8.704  8.795  7.472  7.406  1.143  0.316  6.297  6.172  0.948 -0.136  1.058
 0.1413 -2.3152  -0.305 -0.236 -0.517 -3.737 -2.459 -0.157 -0.878  2.106  6.602 -0.019  0.023 -0.005  0.060 -1.539  0.113 -0.108  0.039 -0.374  0.966  0.013 -0.006  8.704  8.800  7.484  7.414  1.163  0.347  6.347  6.249  0.950 -0.135  1.058
 0.1585 -2.3152  -0.370 -0.128 -0.324 -1.661 -1.219  0.046  0.119  1.089  4.356  1.127 -0.005 -0.001 -0.272 -0.166  0.473  0.221  0.206 -0.124  1.597  0.005 -0.008  7.778  6.290  6.127  5.622  1.256  4.062  2.102  6.017  0.982  0.156  1.087
 0.1778 -2.3152  -0.364 -0.129 -0.315 -1.719 -1.222  0.053  0.147  1.063  4.408  1.157 -0.004  0.001 -0.250 -0.140  0.489  0.234  0.210 -0.117  1.627  0.005 -0.008  7.878  6.400  6.176  5.672  1.278  4.099  2.085  6.038  0.983  0.158  1.089
 0.1995 -2.3152  -0.350 -0.119 -0.306 -1.764 -1.217  0.061  0.178  1.036  4.447  1.190 -0.004  0.003 -0.223 -0.111  0.506  0.247  0.213 -0.110  1.660  0.005 -0.008  7.973  6.536  6.211  5.724  1.298  4.138  2.060  6.054  0.985  0.159  1.091
 0.2239 -2.3152  -0.350 -0.126 -0.296 -1.798 -1.216  0.068  0.208  1.011  4.481  1.223 -0.004  0.005 -0.208 -0.083  0.524  0.261  0.217 -0.103  1.695  0.006 -0.007  8.061  6.649  6.240  5.766  1.317  4.183  2.027  6.068  0.986  0.162  1.092
 0.2512 -2.3152  -0.349 -0.134 -0.286 -1.828 -1.211  0.077  0.238  0.995  4.506  1.257 -0.004  0.007 -0.181 -0.052  0.544  0.277  0.221 -0.095  1.734  0.006 -0.007  8.114  6.716  6.280  5.805  1.335  4.238  1.992  6.091  0.988  0.165  1.094
 0.2818 -2.3152  -0.351 -0.152 -0.269 -1.776 -1.176  0.090  0.295  0.950  4.458  1.315 -0.004  0.009 -0.164  0.003  0.569  0.297  0.226 -0.085  1.786  0.006 -0.006  8.146  6.696  6.240  5.760  1.350  4.312  1.921  6.098  0.989  0.171  1.096
 0.3162 -2.3152  -0.343 -0.170 -0.279 -2.031 -1.322  0.072  0.214  1.009  4.706  1.230 -0.002  0.009 -0.122 -0.092  0.546  0.275  0.214 -0.099  1.726  0.006 -0.006  8.368  7.102  6.428  6.002  1.354  4.164  2.084  6.102  0.988  0.161  1.096
 0.3548 -2.3152  -0.331 -0.164 -0.279 -2.152 -1.398  0.064  0.183  1.019  4.839  1.189 -0.001  0.009 -0.094 -0.139  0.533  0.264  0.206 -0.107  1.681  0.007 -0.006  8.474  7.313  6.525  6.135  1.365  4.083  2.166  6.097  0.987  0.157  1.096
 0.3981 -2.3152  -0.319 -0.157 -0.277 -2.258 -1.480  0.056  0.155  1.036  4.950  1.156 -0.001  0.010 -0.056 -0.180  0.522  0.254  0.199 -0.113  1.650  0.007 -0.005  8.490  7.463  6.625  6.269  1.375  4.038  2.238  6.119  0.986  0.154  1.096
 0.4467 -2.3152  -0.301 -0.151 -0.310 -2.476 -1.723  0.022 -0.021  1.222  5.160  0.980  0.003  0.008 -0.037 -0.370  0.472  0.208  0.180 -0.143  1.557  0.008 -0.006  8.423  7.608  6.755  6.445  1.381  3.868  2.430  6.128  0.984  0.143  1.095
 0.5012 -2.3152  -0.288 -0.144 -0.338 -2.603 -1.909 -0.004 -0.158  1.392  5.277  0.845  0.006  0.006 -0.025 -0.519  0.433  0.173  0.167 -0.166  1.490  0.008 -0.006  8.533  7.782  6.819  6.531  1.396  3.805  2.495  6.126  0.982  0.140  1.095
 0.5623 -2.3152  -0.279 -0.140 -0.323 -2.647 -1.904 -0.001 -0.131  1.315  5.348  0.854  0.005  0.006 -0.010 -0.509  0.430  0.170  0.162 -0.168  1.452  0.008 -0.006  8.665  7.906  6.863  6.575  1.407  3.742  2.547  6.111  0.980  0.138  1.094
 0.6310 -2.3152  -0.269 -0.134 -0.307 -2.656 -1.886  0.003 -0.103  1.241  5.384  0.865  0.004  0.007  0.019 -0.495  0.428  0.169  0.157 -0.168  1.417  0.008 -0.006  8.763  7.995  6.875  6.592  1.418  3.686  2.585  6.090  0.979  0.136  1.093
 0.7079 -2.3152  -0.259 -0.127 -0.291 -2.664 -1.882  0.006 -0.075  1.180  5.409  0.880  0.003  0.008  0.039 -0.477  0.430  0.170  0.155 -0.167  1.397  0.008 -0.006  8.853  8.057  6.895  6.605  1.429  3.663  2.597  6.078  0.978  0.137  1.093
 0.7943 -2.3152  -0.246 -0.120 -0.284 -2.734 -1.916  0.005 -0.084  1.158  5.505  0.856  0.003  0.008  0.066 -0.506  0.422  0.161  0.148 -0.172  1.339  0.009 -0.006  8.929  8.187  6.938  6.668  1.435  3.531  2.712  6.053  0.975  0.129  1.092
 0.8913 -2.3152  -0.236 -0.116 -0.268 -2.728 -1.894  0.010 -0.057  1.089  5.522  0.867  0.003  0.009  0.116 -0.493  0.424  0.161  0.144 -0.172  1.308  0.009 -0.005  8.995  8.236  6.942  6.673  1.450  3.483  2.757  6.047  0.973  0.129  1.091
 1.0000 -2.3152  -0.223 -0.111 -0.252 -2.626 -1.799  0.021 -0.019  1.001  5.449  0.884  0.002  0.010  0.184 -0.464  0.433  0.164  0.142 -0.168  1.261  0.009 -0.005  8.873  8.046  6.839  6.553  1.461  3.413  2.765  5.985  0.970  0.125  1.090
 1.1220 -2.3152  -0.207 -0.100 -0.209 -2.124 -1.508  0.049  0.115  0.788  4.997  0.986 -0.001  0.012  0.225 -0.320  0.458  0.182  0.150 -0.155  1.240  0.009 -0.005  8.380  7.223  6.373  6.013  1.474  3.441  2.387  5.661  0.967  0.133  1.088
 1.2589 -2.3152  -0.203 -0.080 -0.144 -1.241 -1.054  0.096  0.350  0.522  4.200  1.187 -0.004  0.014  0.167 -0.068  0.504  0.223  0.171 -0.129  1.294  0.009 -0.004  7.556  5.879  5.553  5.096  1.503  3.637  1.713  5.231  0.968  0.151  1.086
 1.4125 -2.3152  -0.178 -0.080 -0.147 -1.534 -1.255  0.066  0.202  0.583  4.488  1.019 -0.001  0.013  0.192 -0.226  0.459  0.177  0.145 -0.160  1.164  0.010 -0.004  7.648  6.461  5.666  5.370  1.477  3.166  1.897  4.931  0.962  0.128  1.082
 1.5849 -2.3152  -0.174 -0.078 -0.125 -1.348 -1.150  0.074  0.238  0.496  4.367  1.031 -0.002  0.012  0.169 -0.197  0.460  0.174  0.142 -0.160  1.122  0.010 -0.003  7.515  6.307  5.469  5.203  1.481  3.049  1.799  4.722  0.960  0.127  1.080
 1.7783 -2.3152  -0.167 -0.073 -0.102 -1.158 -1.043  0.087  0.279  0.436  4.241  1.053 -0.002  0.012  0.136 -0.154  0.473  0.181  0.144 -0.155  1.092  0.010 -0.003  7.316  5.896  5.297  4.975  1.491  2.977  1.681  4.540  0.958  0.128  1.079
