# Age    [M/H]     CN1    CN2  Ca4227    G   Fe4383 Ca4455 Fe4531  C4668   Hb   Fe5015   Mg1    Mg2    Mgb  Fe5270 Fe5335 Fe5406 Fe5709 Fe5782   NaD   TiO1   TiO2    HdA    HgA     HdF   HgF   D4000   CaT*   PaT    CaT    sTiO   MgI    D_CO
#===============================================================================================================================================================================================================================================
 0.0631 -2.3152  -0.334 -0.257 -0.509 -3.964 -2.540 -0.166 -0.859  2.022  6.885 -0.004  0.022 -0.007  0.026 -1.537  0.088 -0.118  0.031 -0.382  0.975  0.013 -0.006  9.274  9.400  7.774  7.704  1.043  0.261  5.784  5.640  0.942 -0.144  1.060
 0.0708 -2.3152  -0.346 -0.270 -0.512 -3.930 -2.528 -0.166 -0.862  2.033  6.846 -0.007  0.022 -0.007  0.031 -1.541  0.088 -0.119  0.031 -0.382  0.970  0.013 -0.006  9.220  9.326  7.745  7.671  1.061  0.270  5.941  5.796  0.944 -0.145  1.060
 0.0794 -2.3152  -0.357 -0.281 -0.500 -3.948 -2.535 -0.162 -0.826  1.952  6.879  0.024  0.021 -0.006  0.052 -1.504  0.093 -0.114  0.029 -0.378  0.956  0.013 -0.006  9.120  9.207  7.695  7.618  1.075  0.278  6.090  5.942  0.945 -0.146  1.060
 0.0891 -2.3152  -0.349 -0.274 -0.504 -3.908 -2.517 -0.161 -0.834  1.974  6.826  0.018  0.021 -0.006  0.059 -1.510  0.094 -0.114  0.030 -0.378  0.952  0.013 -0.006  9.088  9.159  7.673  7.592  1.093  0.276  6.207  6.049  0.946 -0.146  1.060
 0.1000 -2.3152  -0.331 -0.259 -0.513 -3.862 -2.504 -0.162 -0.859  2.038  6.767 -0.005  0.022 -0.006  0.061 -1.538  0.096 -0.116  0.032 -0.379  0.952  0.013 -0.006  9.118  9.222  7.676  7.611  1.108  0.264  6.353  6.173  0.947 -0.148  1.059
 0.1122 -2.3152  -0.322 -0.251 -0.508 -3.822 -2.494 -0.158 -0.844  2.013  6.721  0.010  0.021 -0.005  0.082 -1.517  0.103 -0.112  0.033 -0.375  0.941  0.013 -0.006  8.998  9.134  7.600  7.555  1.126  0.265  6.386  6.204  0.948 -0.146  1.059
 0.1259 -2.3152  -0.313 -0.243 -0.501 -3.807 -2.469 -0.152 -0.817  1.965  6.723  0.036  0.021 -0.004  0.082 -1.482  0.113 -0.104  0.035 -0.368  0.929  0.013 -0.006  8.726  8.828  7.485  7.428  1.143  0.275  6.356  6.186  0.948 -0.142  1.058
 0.1413 -2.3152  -0.307 -0.237 -0.523 -3.752 -2.471 -0.159 -0.884  2.121  6.626 -0.021  0.023 -0.006  0.047 -1.551  0.106 -0.112  0.039 -0.375  0.948  0.013 -0.006  8.725  8.831  7.497  7.435  1.162  0.306  6.407  6.264  0.950 -0.141  1.059
 0.1585 -2.3152  -0.371 -0.128 -0.328 -1.667 -1.225  0.046  0.117  1.096  4.364  1.129 -0.005 -0.001 -0.279 -0.169  0.470  0.220  0.207 -0.123  1.591  0.005 -0.008  7.794  6.308  6.134  5.635  1.256  4.061  2.108  6.021  0.982  0.155  1.087
 0.1778 -2.3152  -0.365 -0.129 -0.319 -1.726 -1.227  0.053  0.146  1.070  4.416  1.159 -0.005  0.001 -0.258 -0.143  0.487  0.233  0.210 -0.117  1.622  0.005 -0.008  7.894  6.419  6.184  5.685  1.277  4.098  2.090  6.042  0.983  0.157  1.089
 0.1995 -2.3152  -0.351 -0.119 -0.310 -1.771 -1.223  0.060  0.177  1.043  4.456  1.192 -0.005  0.002 -0.231 -0.114  0.504  0.246  0.214 -0.110  1.655  0.006 -0.008  7.989  6.556  6.219  5.738  1.297  4.137  2.066  6.058  0.985  0.159  1.091
 0.2239 -2.3152  -0.351 -0.126 -0.300 -1.805 -1.222  0.068  0.207  1.018  4.490  1.225 -0.004  0.004 -0.216 -0.085  0.522  0.260  0.217 -0.103  1.689  0.006 -0.007  8.079  6.670  6.249  5.780  1.316  4.182  2.032  6.072  0.986  0.161  1.092
 0.2512 -2.3152  -0.350 -0.134 -0.291 -1.835 -1.217  0.076  0.237  1.003  4.515  1.260 -0.004  0.006 -0.190 -0.054  0.541  0.275  0.221 -0.095  1.729  0.006 -0.007  8.133  6.737  6.289  5.819  1.335  4.238  1.997  6.095  0.988  0.164  1.094
 0.2818 -2.3152  -0.352 -0.153 -0.273 -1.784 -1.182  0.090  0.294  0.958  4.468  1.318 -0.004  0.008 -0.172  0.001  0.566  0.296  0.227 -0.084  1.781  0.006 -0.006  8.166  6.719  6.249  5.775  1.349  4.312  1.926  6.103  0.989  0.170  1.096
 0.3162 -2.3152  -0.344 -0.170 -0.284 -2.040 -1.330  0.072  0.213  1.018  4.717  1.233 -0.002  0.008 -0.132 -0.095  0.543  0.274  0.215 -0.098  1.720  0.006 -0.006  8.389  7.127  6.438  6.019  1.354  4.163  2.090  6.107  0.988  0.160  1.096
 0.3548 -2.3152  -0.332 -0.164 -0.284 -2.161 -1.406  0.063  0.181  1.028  4.851  1.192 -0.002  0.009 -0.104 -0.142  0.530  0.262  0.207 -0.106  1.675  0.007 -0.006  8.496  7.339  6.537  6.152  1.365  4.082  2.173  6.102  0.987  0.156  1.096
 0.3981 -2.3152  -0.320 -0.157 -0.283 -2.269 -1.489  0.056  0.153  1.046  4.963  1.158 -0.001  0.009 -0.066 -0.184  0.518  0.253  0.200 -0.113  1.643  0.007 -0.005  8.512  7.490  6.637  6.287  1.375  4.036  2.246  6.125  0.986  0.153  1.096
 0.4467 -2.3152  -0.302 -0.151 -0.315 -2.487 -1.732  0.021 -0.024  1.233  5.175  0.983  0.003  0.007 -0.048 -0.375  0.468  0.206  0.181 -0.143  1.549  0.008 -0.005  8.444  7.636  6.767  6.463  1.380  3.865  2.441  6.135  0.984  0.141  1.096
 0.5012 -2.3152  -0.289 -0.144 -0.344 -2.614 -1.918 -0.004 -0.161  1.403  5.291  0.847  0.006  0.005 -0.036 -0.523  0.429  0.171  0.168 -0.166  1.481  0.008 -0.006  8.555  7.811  6.832  6.550  1.395  3.802  2.507  6.134  0.982  0.138  1.095
 0.5623 -2.3152  -0.281 -0.140 -0.328 -2.659 -1.914 -0.002 -0.134  1.327  5.364  0.856  0.005  0.006 -0.021 -0.514  0.426  0.168  0.163 -0.167  1.443  0.008 -0.006  8.690  7.937  6.876  6.596  1.406  3.738  2.560  6.119  0.980  0.136  1.094
 0.6310 -2.3152  -0.270 -0.134 -0.313 -2.669 -1.897  0.002 -0.106  1.252  5.401  0.867  0.004  0.006  0.007 -0.500  0.424  0.167  0.158 -0.168  1.407  0.008 -0.006  8.790  8.029  6.889  6.614  1.417  3.682  2.599  6.099  0.979  0.134  1.093
 0.7079 -2.3152  -0.260 -0.127 -0.298 -2.678 -1.894  0.005 -0.078  1.193  5.428  0.883  0.003  0.007  0.027 -0.483  0.425  0.168  0.156 -0.167  1.386  0.009 -0.006  8.882  8.094  6.911  6.629  1.429  3.658  2.612  6.087  0.978  0.135  1.093
 0.7943 -2.3152  -0.247 -0.120 -0.290 -2.750 -1.931  0.004 -0.089  1.171  5.526  0.858  0.003  0.007  0.053 -0.513  0.416  0.158  0.148 -0.172  1.328  0.009 -0.005  8.963  8.228  6.957  6.695  1.434  3.524  2.731  6.064  0.975  0.126  1.092
