# Age   [M/H]   slope    CN1    CN2  Ca4227    G   Fe4383 Ca4455 Fe4531  C4668   Hb   Fe5015   Mg1    Mg2    Mgb  Fe5270 Fe5335 Fe5406 Fe5709 Fe5782   NaD   TiO1   TiO2    HdA    HgA     HdF   HgF   D4000   CaT*   PaT    CaT    sTiO   MgI    D_CO
#=====================================================================================================================================================================================================================================================
 0.0631 -2.3152  0.30  -0.441 -0.349 -0.581 -3.877 -2.177 -0.171 -0.855  2.023  6.788  0.019  0.020 -0.011 -0.084 -1.520  0.063 -0.130  0.034 -0.384  0.953  0.013 -0.006  9.338  9.344  7.756  7.674  1.027  0.430  5.689  5.721  0.942 -0.136  1.063
 0.0708 -2.3152  0.30  -0.440 -0.351 -0.578 -3.839 -2.196 -0.170 -0.860  2.040  6.744  0.013  0.020 -0.011 -0.070 -1.527  0.065 -0.130  0.034 -0.384  0.949  0.013 -0.006  9.254  9.245  7.717  7.631  1.047  0.438  5.860  5.888  0.943 -0.137  1.063
 0.0794 -2.3152  0.30  -0.434 -0.347 -0.563 -3.863 -2.210 -0.165 -0.813  1.934  6.789  0.053  0.019 -0.010 -0.040 -1.479  0.071 -0.123  0.031 -0.378  0.930  0.014 -0.006  9.114  9.091  7.653  7.563  1.062  0.441  6.026  6.046  0.945 -0.139  1.063
 0.0891 -2.3152  0.30  -0.420 -0.334 -0.562 -3.818 -2.220 -0.164 -0.825  1.967  6.728  0.042  0.019 -0.009 -0.024 -1.491  0.075 -0.123  0.032 -0.378  0.928  0.014 -0.006  9.072  9.035  7.627  7.532  1.083  0.429  6.157  6.155  0.946 -0.141  1.062
 0.1000 -2.3152  0.30  -0.397 -0.315 -0.567 -3.773 -2.241 -0.165 -0.861  2.053  6.665  0.008  0.021 -0.009 -0.013 -1.531  0.078 -0.125  0.035 -0.381  0.930  0.014 -0.006  9.110  9.124  7.635  7.563  1.098  0.407  6.327  6.292  0.947 -0.144  1.061
 0.1122 -2.3152  0.30  -0.382 -0.301 -0.557 -3.738 -2.234 -0.159 -0.835  2.007  6.628  0.031  0.020 -0.008  0.019 -1.499  0.088 -0.118  0.036 -0.374  0.917  0.013 -0.006  8.956  9.016  7.542  7.496  1.119  0.399  6.360  6.314  0.948 -0.142  1.061
 0.1259 -2.3152  0.30  -0.366 -0.288 -0.548 -3.716 -2.232 -0.153 -0.811  1.967  6.623  0.054  0.019 -0.007  0.018 -1.466  0.100 -0.110  0.039 -0.367  0.905  0.013 -0.006  8.632  8.665  7.416  7.353  1.137  0.400  6.321  6.279  0.948 -0.139  1.060
 0.1413 -2.3152  0.30  -0.357 -0.279 -0.566 -3.669 -2.281 -0.161 -0.894  2.160  6.525 -0.019  0.023 -0.008 -0.015 -1.555  0.094 -0.119  0.043 -0.376  0.932  0.013 -0.006  8.607  8.649  7.426  7.357  1.158  0.428  6.377  6.359  0.950 -0.138  1.060
 0.1585 -2.3152  0.30  -0.404 -0.133 -0.327 -1.306 -0.926  0.073  0.247  0.987  4.047  1.258 -0.008 -0.002 -0.342 -0.030  0.501  0.249  0.223 -0.102  1.638  0.005 -0.008  7.558  5.805  5.870  5.315  1.270  4.305  1.854  6.029  0.984  0.173  1.088
 0.1778 -2.3152  0.30  -0.396 -0.135 -0.317 -1.377 -0.932  0.081  0.277  0.961  4.110  1.290 -0.008  0.000 -0.319 -0.003  0.518  0.263  0.226 -0.095  1.671  0.005 -0.008  7.676  5.939  5.930  5.376  1.293  4.333  1.846  6.050  0.985  0.173  1.089
